	NA	NA	Sp_ds	Sp_hs	Sp_log	Sp_plat	NA	NA
c5953_g1_i1	Q9Y7X7	GO:0000042	0.69	0.00	45.20	0.00	protein targeting to Golgi	Full=GRIP and coiled-coil domain-containing protein C365.11 [Schizosaccharomyces pombe 972h-]
c4535_g1_i1	O59826	GO:0003674	202.96	34.77	18.59	198.37	molecular_function	Full=Putative voltage-gated potassium channel subunit beta; AltName: Full=K(+) channel subunit beta [Schizosaccharomyces pombe 972h-]
c4351_g1_i1	NA	NA	18.42	14.81	7.92	150.57	NA	NA
c2956_g1_i1	O13917	GO:0000166	34.44	113.61	204.04	23.10	nucleotide binding	Full=Hypoxanthine-guanine phosphoribosyltransferase; Short=HGPRT; Short=HGPRTase [Schizosaccharomyces pombe 972h-]
c5922_g1_i1	O59852	GO:0000324	1984.15	18.95	13.24	1115.88	fungal-type vacuole	Full=Invertase; AltName: Full=Beta-fructofuranosidase; AltName: Full=Saccharase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c648_g1_i1	Q9P779	GO:0000407	32.36	24.46	3.61	52.05	pre-autophagosomal structure	Full=Sorting nexin C1711.11 [Schizosaccharomyces pombe 972h-]
c5036_g1_i1	NA	NA	2245.52	710.44	239.09	6969.63	NA	NA
c760_g1_i1	Q9UUD6	GO:0004843	49.97	15.12	23.42	141.24	ubiquitin-specific protease activity	Full=Ubiquitin carboxyl-terminal hydrolase 11; AltName: Full=Deubiquitinating enzyme 11; AltName: Full=Ubiquitin thioesterase 11; AltName: Full=Ubiquitin-specific-processing protease 11 [Schizosaccharomyces pombe 972h-]
c4428_g1_i1	Q9P7D9	GO:0000122	22.37	23.87	3.83	87.99	negative regulation of transcription from RNA polymerase II promoter	Full=Zinc finger protein rsv1; AltName: Full=Required for stationary phase viability protein 1 [Schizosaccharomyces pombe 972h-]
c4712_g1_i2	NA	NA	3.81	3.56	1.19	58.51	NA	NA
c147_g1_i1	O60077	GO:0003674	85.26	104.46	10.42	163.48	molecular_function	Full=Armadillo repeat-containing zfs1 target protein 1 [Schizosaccharomyces pombe 972h-]
c2389_g1_i2	Q96TL7	GO:0000723	0.00	48.22	7.23	0.00	telomere maintenance	Full=DNA-binding protein rap1 [Schizosaccharomyces pombe 972h-]
c6086_g1_i1	O74992	GO:0000139	106.06	227.29	4.84	1075.51	Golgi membrane	Full=Uncharacterized membrane protein C338.18 [Schizosaccharomyces pombe 972h-]
c362_g1_i1	Q9P6Q5	GO:0004170	28.34	72.28	131.23	7.24	dUTP diphosphatase activity	Full=Probable deoxyuridine 5'-triphosphate nucleotidohydrolase; Short=dUTPase; AltName: Full=dUTP pyrophosphatase [Schizosaccharomyces pombe 972h-]
c199_g1_i1	O74412	GO:0000978	19.10	4.41	6.86	65.85	RNA polymerase II core promoter proximal region sequence-specific DNA binding	Full=Transcription factor cbf12; AltName: Full=C-promoter element-binding factor-like protein 12 [Schizosaccharomyces pombe 972h-]
c6403_g1_i1	Q8NKC1	GO:0000324	44.68	17.15	11.20	127.63	fungal-type vacuole	Full=Probable catechol O-methyltransferase 2 [Schizosaccharomyces pombe 972h-]
c4746_g1_i2	Q09740	GO:0004360	0.00	0.00	0.00	12.61	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	Full=Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]; Short=GFAT; AltName: Full=D-fructose-6-phosphate amidotransferase; AltName: Full=Hexosephosphate aminotransferase [Schizosaccharomyces pombe 972h-]
c2389_g1_i1	Q96TL7	GO:0000723	14.77	0.00	0.00	18.12	telomere maintenance	Full=DNA-binding protein rap1 [Schizosaccharomyces pombe 972h-]
c1244_g1_i1	O13709	GO:0003674	60.78	40.10	12.27	125.69	molecular_function	Full=Uncharacterized protein C14C4.01c [Schizosaccharomyces pombe 972h-]
c4259_g1_i1	O59746	GO:0000978	49.75	11.85	41.20	136.87	RNA polymerase II core promoter proximal region sequence-specific DNA binding	Full=Uncharacterized transcriptional regulatory protein C530.11c [Schizosaccharomyces pombe 972h-]
c822_g1_i1	Q01682	GO:0003993	15.82	32.99	82.86	6.59	acid phosphatase activity	Full=Thiamine-repressible acid phosphatase pho4; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c1375_g1_i1	O13938	GO:0000139	20.09	11.78	2.52	58.16	Golgi membrane	Full=UPF0658 Golgi apparatus membrane protein C23H3.04 [Schizosaccharomyces pombe 972h-]
c4754_g2_i1	NA	NA	119.05	0.00	0.00	5.29	NA	NA
c4627_g1_i1	O94322	GO:0004733	1068.61	473.17	13.28	723.15	pyridoxamine-phosphate oxidase activity	Full=Uncharacterized protein C725.03 [Schizosaccharomyces pombe 972h-]
c4839_g1_i1	O94641	GO:0000166	589.36	4900.68	69.15	294.21	nucleotide binding	Full=Heat shock protein 104; AltName: Full=Protein aggregation-remodeling factor hsp104 [Schizosaccharomyces pombe 972h-]
c3892_g1_i2	O43066	GO:0000147	10.28	0.02	7.46	59.67	actin cortical patch assembly	Full=Serine/threonine-protein kinase ppk30 [Schizosaccharomyces pombe 972h-]
c5021_g1_i1	NA	NA	5.16	74.06	0.00	12.65	NA	NA
c5214_g1_i1	Q10232	GO:0002181	704.08	2250.47	1783.96	283.16	cytoplasmic translation	Full=60S ribosomal protein L9-A [Schizosaccharomyces pombe 972h-]
c4929_g1_i1	O74887	GO:0004601	2052.39	12732.46	1417.39	1760.01	peroxidase activity	Full=Peroxiredoxin tpx1; AltName: Full=Peroxiredoxin tsa1; AltName: Full=Thioredoxin peroxidase [Schizosaccharomyces pombe 972h-]
c5122_g1_i1	O14400	GO:0004368	1060.50	111.38	22.18	59.78	glycerol-3-phosphate dehydrogenase activity	Full=Glycerol-3-phosphate dehydrogenase, mitochondrial; Short=GPD-M; Short=GPDH-M; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4603_g1_i2	Q5UQ88	GO:0000166	90.90	510.34	780.58	65.62	nucleotide binding	Full=Probable ubiquitin-conjugating enzyme E2 R521; AltName: Full=Ubiquitin carrier protein; AltName: Full=Ubiquitin-protein ligase [Acanthamoeba polyphaga mimivirus]
c6166_g1_i1	NA	NA	813.05	287.41	12.72	5752.11	NA	NA
c4618_g2_i1	O14469	GO:0002181	176.37	418.99	703.48	26.43	cytoplasmic translation	Full=40S ribosomal protein S22 [Schizosaccharomyces pombe 972h-]
c4858_g1_i1	O94632	GO:0005509	123.36	8.53	12.68	64.69	calcium ion binding	Full=Meiotically up-regulated gene 158 protein [Schizosaccharomyces pombe 972h-]
c6097_g1_i1	O74442	GO:0004843	0.00	18.35	25.69	44.36	ubiquitin-specific protease activity	Full=Probable ubiquitin carboxyl-terminal hydrolase 16; AltName: Full=Deubiquitinating enzyme 16; AltName: Full=Ubiquitin thioesterase 16; AltName: Full=Ubiquitin-specific-processing protease 16 [Schizosaccharomyces pombe 972h-]
c6016_g1_i1	NA	NA	1362.26	3992.17	3521.94	450.13	NA	NA
c4446_g1_i1	G2TRT0	GO:0005085	19.45	65.48	0.00	29.99	guanyl-nucleotide exchange factor activity	Full=Synembryn-like protein C3E7.04c [Schizosaccharomyces pombe 972h-]
c4725_g2_i1	Q9P5N2	GO:0000139	11.66	49.71	88.76	1.67	Golgi membrane	Full=Amino acid transporter 1 [Schizosaccharomyces pombe 972h-]
c4228_g1_i2	Q9HDZ2	GO:0003674	8.83	0.00	0.00	14.45	molecular_function	Full=Protein cwh43 [Schizosaccharomyces pombe 972h-]
c6218_g1_i1	P40373	GO:0000105	53.71	176.74	379.47	37.12	histidine biosynthetic process	Full=ATP phosphoribosyltransferase; Short=ATP-PRT; Short=ATP-PRTase [Schizosaccharomyces pombe 972h-]
c1546_g1_i2	Q9Y7N9	GO:0005634	4.00	0.00	0.00	25.67	nucleus	Full=PX domain-containing protein C1450.12 [Schizosaccharomyces pombe 972h-]
c2018_g1_i2	NA	NA	18.39	19.74	0.00	61.54	NA	NA
c1348_g1_i2	O60119	GO:0005198	20.96	56.32	3.52	157.71	structural molecule activity	Full=Vesicle-associated membrane protein-associated protein C16G5.05c; Short=VAMP-associated protein C16G5.05c; AltName: Full=VAP homolog 1 [Schizosaccharomyces pombe 972h-]
c1759_g1_i1	O94300	GO:0000139	17.05	29.72	159.65	14.11	Golgi membrane	Full=Putative xanthine/uracil permease C887.17 [Schizosaccharomyces pombe 972h-]
c4743_g1_i2	NA	NA	181.31	158.03	0.00	24.00	NA	NA
c3677_g1_i1	O13692	GO:0005576	55.90	101.96	212.61	20.67	extracellular region	Full=1,3-beta-glucanosyltransferase gas5; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4697_g1_i4	O94664	GO:0003674	15.72	19.48	0.50	0.00	molecular_function	Full=Meiotically up-regulated gene 166 protein [Schizosaccharomyces pombe 972h-]
c5830_g1_i1	O74402	GO:0000166	169.69	2077.10	67.61	94.50	nucleotide binding	Full=Heat shock protein 78, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c3934_g2_i1	P40376	GO:0000166	279.73	203.58	22.52	115.09	nucleotide binding	Full=cAMP-dependent protein kinase catalytic subunit [Schizosaccharomyces pombe 972h-]
c5869_g1_i1	Q9P7G9	GO:0000103	59.88	319.01	292.74	10.88	sulfate assimilation	Full=Adenylyl-sulfate kinase; AltName: Full=ATP adenosine-5'-phosphosulfate 3'-phosphotransferase; AltName: Full=Adenosine-5'-phosphosulfate kinase; Short=APS kinase [Schizosaccharomyces pombe 972h-]
c5229_g1_i1	NA	NA	517.33	2381.85	24.39	330.96	NA	NA
c5498_g1_i1	Q09819	GO:0005634	0.00	184.64	13.36	0.00	nucleus	Full=Uncharacterized protein C16C9.05 [Schizosaccharomyces pombe 972h-]
c4926_g1_i1	Q9HFF2	GO:0000932	1.90	49.35	48.48	9.32	cytoplasmic mRNA processing body	Full=Uncharacterized protein C683.02c [Schizosaccharomyces pombe 972h-]
c5428_g1_i1	NA	NA	8.03	0.00	0.00	55.37	NA	NA
c2213_g1_i1	Q9Y7P3	GO:0004806	21.88	0.00	58.45	25.34	triglyceride lipase activity	Full=Probable triacylglycerol lipase C1450.16c [Schizosaccharomyces pombe 972h-]
c2093_g1_i1	O14137	GO:0004345	435.49	60.25	14.55	304.82	glucose-6-phosphate dehydrogenase activity	Full=Probable glucose-6-phosphate 1-dehydrogenase C7.13c; Short=G6PD [Schizosaccharomyces pombe 972h-]
c1530_g1_i1	Q10107	GO:0003723	11.87	62.06	156.51	14.73	RNA binding	Full=Ribosomal RNA small subunit methyltransferase mra1; AltName: Full=18S rRNA (pseudouridine-N1)-methyltransferase; AltName: Full=Multicopy suppressor of ras1-deficiency protein [Schizosaccharomyces pombe 972h-]
c5064_g1_i1	Q9URY9	GO:0005739	103.60	0.00	0.00	254.38	mitochondrion	Full=Uncharacterized hemerythrin-like protein C869.06c [Schizosaccharomyces pombe 972h-]
c3249_g1_i1	O74876	GO:0003674	18.80	120.05	10.15	5.91	molecular_function	Full=Meiotically up-regulated gene 135 protein [Schizosaccharomyces pombe 972h-]
c6049_g1_i1	Q10494	GO:0005634	1358.85	5111.14	190.36	836.13	nucleus	Full=Uncharacterized oxidoreductase C26F1.07 [Schizosaccharomyces pombe 972h-]
c3557_g1_i1	Q9UU76	GO:0000900	27.12	78.66	171.50	19.94	translation repressor activity, nucleic acid binding	Full=Pumilio homology domain family member 6 [Schizosaccharomyces pombe 972h-]
c1666_g1_i1	Q09923	GO:0005634	126.73	75.99	45.13	358.61	nucleus	Full=Aldo-keto reductase yakc [NADP(+)] [Schizosaccharomyces pombe 972h-]
c3957_g1_i1	P32747	GO:0003824	37.62	194.40	371.71	51.64	catalytic activity	Full=Dihydroorotate dehydrogenase (quinone), mitochondrial; Short=DHOD; Short=DHODase; Short=DHOdehase; AltName: Full=Dihydroorotate oxidase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c3065_g1_i1	O42890	GO:0005507	103.18	9.70	10.91	424.96	copper ion binding	Full=Copper amine oxidase-like protein cao2 [Schizosaccharomyces pombe 972h-]
c5215_g1_i1	O94392	GO:0000978	105.03	12.04	29.51	393.28	RNA polymerase II core promoter proximal region sequence-specific DNA binding	Full=Uncharacterized transcriptional regulatory protein C2H10.01 [Schizosaccharomyces pombe 972h-]
c974_g1_i1	NA	NA	24.18	70.33	2.43	117.77	NA	NA
c2739_g1_i1	O13867	GO:0000166	4.29	7.73	1.38	96.26	nucleotide binding	Full=Uracil phosphoribosyltransferase 1; Short=UPRTase 1; AltName: Full=UMP pyrophosphorylase 1 [Schizosaccharomyces pombe 972h-]
c5094_g1_i1	NA	NA	32.05	33.16	6.62	87.64	NA	NA
c1431_g1_i1	Q10488	GO:0004024	346.33	670.85	21.30	249.89	alcohol dehydrogenase activity, zinc-dependent	Full=Probable trans-2-enoyl-CoA reductase, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c3978_g1_i4	P24782	GO:0000166	0.00	0.00	201.67	20.00	nucleotide binding	Full=ATP-dependent RNA helicase dbp2; AltName: Full=p68-like protein [Schizosaccharomyces pombe 972h-]
c4705_g1_i1	O59794	GO:0002181	278.69	858.80	1438.71	85.03	cytoplasmic translation	Full=60S ribosomal protein L17-B [Schizosaccharomyces pombe 972h-]
c3086_g3_i1	NA	NA	43.47	13.91	23.78	185.77	NA	NA
c2785_g1_i1	Q9P371	GO:0004221	38.43	0.00	10.22	61.93	ubiquitin thiolesterase activity	Full=AMSH-like protease sst2; AltName: Full=Suppressor of ste12 deletion protein 2 [Schizosaccharomyces pombe 972h-]
c5079_g1_i1	Q9HDU2	GO:0000166	404.14	79.26	36.55	62.06	nucleotide binding	Full=Galactokinase; AltName: Full=Galactose kinase [Schizosaccharomyces pombe 972h-]
c2031_g1_i2	O13944	GO:0005737	0.00	18.90	0.00	0.00	cytoplasm	Full=Oxysterol-binding protein homolog C23H4.01c [Schizosaccharomyces pombe 972h-]
c6230_g1_i1	Q9USM2	GO:0003674	594.98	162.52	14.72	642.97	molecular_function	Full=Uncharacterized protein C16A11.15c [Schizosaccharomyces pombe 972h-]
c3880_g1_i1	O14201	GO:0000329	506.15	5.83	17.38	309.02	fungal-type vacuole membrane	Full=Meiotically up-regulated gene 86 protein [Schizosaccharomyces pombe 972h-]
c4999_g1_i1	Q10242	GO:0000166	826.93	118.63	68.55	573.41	nucleotide binding	Full=Probable gluconokinase; AltName: Full=Gluconate kinase [Schizosaccharomyces pombe 972h-]
c1387_g1_i2	O43070	GO:0000723	14.67	10.61	0.00	31.85	telomere maintenance	Full=DNA repair and telomere maintenance protein nbs1 [Schizosaccharomyces pombe 972h-]
c1213_g1_i1	O13693	GO:0003674	136.64	72.76	12.22	158.86	molecular_function	Full=Uncharacterized protein C11E3.14 [Schizosaccharomyces pombe 972h-]
c1476_g1_i1	O94570	GO:0003824	16.72	6.49	12.15	90.75	catalytic activity	Full=Aromatic amino acid aminotransferase C1773.13 [Schizosaccharomyces pombe 972h-]
c3768_g2_i1	O42848	GO:0002181	1201.93	2859.50	3057.57	344.35	cytoplasmic translation	Full=60S ribosomal protein L16-A [Schizosaccharomyces pombe 972h-]
c6290_g1_i1	P87133	GO:0003674	284.65	442.05	15.47	348.17	molecular_function	Full=Meiotically up-regulated gene 143 protein [Schizosaccharomyces pombe 972h-]
c1172_g1_i1	O94681	GO:0004149	384.76	133.81	106.52	826.08	dihydrolipoyllysine-residue succinyltransferase activity	Full=Probable dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial; AltName: Full=2-oxoglutarate dehydrogenase complex component E2; Short=OGDC-E2; AltName: Full=Probable dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4745_g8_i1	NA	NA	15.54	110.42	5.20	7.56	NA	NA
c4671_g1_i1	Q9C105	GO:0000324	5.22	18.25	73.44	0.00	fungal-type vacuole	Full=Chitinase-like protein PB1E7.04c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c2617_g1_i1	Q9C0Q1	GO:0005783	63.18	360.00	258.57	29.70	endoplasmic reticulum	Full=Uncharacterized transporter PB10D8.04c/PB10D8.05c/PB10D8.06c/PB10D8.07c [Schizosaccharomyces pombe 972h-]
c6402_g1_i1	O13896	GO:0003676	11.63	30.40	116.67	8.49	nucleic acid binding	Full=DNA-directed RNA polymerase III subunit RPC10; Short=RNA polymerase III subunit C10; AltName: Full=DNA-directed RNA polymerases III 12.5 kDa polypeptide; AltName: Full=RNA polymerase III subunit C11 [Schizosaccharomyces pombe 972h-]
c4782_g1_i1	P78890	GO:0003674	7084.80	1881.79	28.52	2506.47	molecular_function	Full=Uncharacterized protein C23H3.15c [Schizosaccharomyces pombe 972h-]
c3496_g2_i1	O42699	GO:0002181	456.08	1302.34	1251.75	100.40	cytoplasmic translation	Full=60S ribosomal protein L19-B [Schizosaccharomyces pombe 972h-]
c3267_g1_i1	NA	NA	47.61	8.38	1.99	281.76	NA	NA
c4650_g1_i2	O14150	GO:0002181	833.21	2169.42	2399.21	176.64	cytoplasmic translation	Full=40S ribosomal protein S14 [Schizosaccharomyces pombe 972h-]
c3386_g1_i1	Q9P3W2	GO:0000324	4.31	91.05	4.33	7.35	fungal-type vacuole	Full=SVP1-like protein 2 [Schizosaccharomyces pombe 972h-]
c2061_g1_i1	O94340	GO:0005634	12.81	222.28	8.56	25.30	nucleus	Full=Uncharacterized N-acetyltransferase C1271.07c [Schizosaccharomyces pombe 972h-]
c4433_g1_i1	P87293	GO:0003674	57.43	45.55	10.50	93.05	molecular_function	Full=Uncharacterized UPF0442 protein C16A10.01 [Schizosaccharomyces pombe 972h-]
c5909_g1_i1	Q09686	GO:0003674	485.06	172.61	23.60	1359.74	molecular_function	Full=Putative glutamine amidotransferase-like protein C13C5.04 [Schizosaccharomyces pombe 972h-]
c2031_g1_i1	O13944	GO:0005737	52.26	8.62	57.49	128.51	cytoplasm	Full=Oxysterol-binding protein homolog C23H4.01c [Schizosaccharomyces pombe 972h-]
c1686_g1_i1	O74867	GO:0000502	60.94	13.66	27.59	157.61	proteasome complex	Full=Uncharacterized protein C18.17c [Schizosaccharomyces pombe 972h-]
c2528_g1_i1	Q9UU78	GO:0002182	343.51	1109.67	1246.38	127.21	cytoplasmic translational elongation	Full=60S acidic ribosomal protein P1-alpha 5 [Schizosaccharomyces pombe 972h-]
c5988_g1_i1	O36032	GO:0004364	1354.49	2192.25	229.02	1018.28	glutathione transferase activity	Full=Glutaredoxin-1 [Schizosaccharomyces pombe 972h-]
c729_g1_i1	Q09679	GO:0000139	22.29	5.02	0.00	63.78	Golgi membrane	Full=Probable alpha-1,2-galactosyltransferase gmh1 [Schizosaccharomyces pombe 972h-]
c5349_g1_i1	P78946	GO:0002181	1539.59	6177.03	4900.92	458.94	cytoplasmic translation	Full=60S ribosomal protein L26 [Schizosaccharomyces pombe 972h-]
c3847_g1_i1	NA	NA	7.19	128.87	5.73	2.90	NA	NA
c4428_g1_i2	Q9P7D9	GO:0000122	105.98	3.95	0.00	60.59	negative regulation of transcription from RNA polymerase II promoter	Full=Zinc finger protein rsv1; AltName: Full=Required for stationary phase viability protein 1 [Schizosaccharomyces pombe 972h-]
c3044_g1_i1	P55306	GO:0004096	1594.30	1213.81	26.20	602.80	catalase activity	Full=Catalase [Schizosaccharomyces pombe 972h-]
c2300_g1_i1	Q09910	GO:0005783	63.95	30.41	90.58	369.11	endoplasmic reticulum	Full=Uncharacterized protein C30D11.11 [Schizosaccharomyces pombe 972h-]
c988_g1_i1	Q9UQY9	GO:0000166	15.70	57.83	36.59	1.89	nucleotide binding	Full=Cell cycle protein kinase spo4; AltName: Full=Sporulation-specific protein 4 [Schizosaccharomyces pombe 972h-]
c5773_g1_i1	Q10281	GO:0005080	1622.27	4479.84	4113.06	539.82	protein kinase C binding	Full=Guanine nucleotide-binding protein subunit beta-like protein; AltName: Full=Receptor of activated protein kinase C [Schizosaccharomyces pombe 972h-]
c4302_g1_i1	Q9Y6Z9	GO:0005739	20.58	26.41	387.37	4.95	mitochondrion	Full=Sorbose reductase sou1; AltName: Full=Sorbitol utilization protein sou1 [Schizosaccharomyces pombe 972h-]
c4733_g1_i2	NA	NA	0.00	140.80	0.00	0.00	NA	NA
c241_g1_i2	NA	NA	9.79	0.01	7.84	37.08	NA	NA
c4743_g1_i1	NA	NA	680.35	1067.14	114.89	171.88	NA	NA
c4935_g1_i1	O74312	GO:0000045	7.23	101.52	0.00	0.00	autophagic vacuole assembly	Full=Autophagy-related protein 9 [Schizosaccharomyces pombe 972h-]
c4640_g1_i1	Q9P7H9	GO:0000324	61.42	14.21	34.18	131.98	fungal-type vacuole	Full=Uncharacterized transcriptional regulatory protein C105.03c [Schizosaccharomyces pombe 972h-]
c1324_g2_i1	O74383	GO:0003674	98.11	11.51	3.28	583.13	molecular_function	Full=Uncharacterized protein C3H7.08c [Schizosaccharomyces pombe 972h-]
c4340_g3_i2	O14123	GO:0005886	39.43	105.35	8.79	22.21	plasma membrane	Full=Probable Na(+)/H(+) antiporter C3A11.09 [Schizosaccharomyces pombe 972h-]
c4443_g2_i1	Q1MTS0	GO:0005634	11.91	35.82	122.23	26.01	nucleus	Full=Uncharacterized protein C3B8.09 [Schizosaccharomyces pombe 972h-]
c2091_g1_i1	Q9Y815	GO:0000978	157.05	267.76	14.09	178.31	RNA polymerase II core promoter proximal region sequence-specific DNA binding	Full=Zinc finger protein rsv2; AltName: Full=Required for stationary phase viability protein 2 [Schizosaccharomyces pombe 972h-]
c951_g1_i1	Q9P775	GO:0003674	13.02	84.74	152.89	22.73	molecular_function	Full=Uncharacterized WD repeat-containing protein C17D11.16 [Schizosaccharomyces pombe 972h-]
c4488_g1_i2	P36582	GO:0000166	34.12	243.83	22.93	24.71	nucleotide binding	Full=Protein kinase C-like 1 [Schizosaccharomyces pombe 972h-]
c6073_g1_i1	O59827	GO:0004364	315.62	48.50	25.14	207.27	glutathione transferase activity	Full=Glutathione S-transferase 2; AltName: Full=GST-II [Schizosaccharomyces pombe 972h-]
c6253_g1_i1	P40903	GO:0000324	670.42	221.22	56.72	612.59	fungal-type vacuole	Full=Sexual differentiation process putative subtilase-type proteinase isp6 [Schizosaccharomyces pombe 972h-]
c4225_g2_i1	Q9UT79	GO:0000118	0.00	33.81	0.00	22.50	histone deacetylase complex	Full=Multicopy suppressor of chk1 protein 1 [Schizosaccharomyces pombe 972h-]
c1117_g1_i1	Q09919	GO:0005381	8.07	11.36	519.13	5.30	iron ion transmembrane transporter activity	Full=Plasma membrane iron permease [Schizosaccharomyces pombe 972h-]
c5818_g1_i1	O60057	GO:0003674	451.53	252.40	15.40	407.44	molecular_function	Full=Meiotically up-regulated gene 147 protein [Schizosaccharomyces pombe 972h-]
c4744_g3_i1	Q9HFE8	GO:0000124	1.12	61.61	0.00	1.15	SAGA complex	Full=Transcription-associated protein 1 [Schizosaccharomyces pombe 972h-]
c6310_g1_i1	O94592	GO:0016020	79.39	12.81	26.83	290.35	membrane	Full=Putative uncharacterized membrane protein C622.02 [Schizosaccharomyces pombe 972h-]
c2969_g1_i1	Q10361	GO:0005739	28.63	0.00	30.24	80.76	mitochondrion	Full=Electron transfer protein 1, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c5847_g1_i1	Q9P7U2	GO:0005634	448.94	640.16	169.88	40.81	nucleus	Full=Putative aryl-alcohol dehydrogenase C977.14c [Schizosaccharomyces pombe 972h-]
c4565_g1_i1	O14345	GO:0000139	84.90	57.62	20.53	172.89	Golgi membrane	Full=Palmitoyltransferase pfa3; AltName: Full=Protein fatty acyltransferase 3 [Schizosaccharomyces pombe 972h-]
c6378_g1_i1	Q9UTI9	GO:0003674	807.31	34.61	15.82	1449.08	molecular_function	Full=UPF0591 membrane protein C15E1.02c [Schizosaccharomyces pombe 972h-]
c3578_g1_i1	Q7LKX0	GO:0005634	148.52	52.57	96.60	501.69	nucleus	Full=Putative elongation of fatty acids protein 2; AltName: Full=3-keto acyl-CoA synthase SPAC1639.01c; AltName: Full=Very-long-chain 3-oxoacyl-CoA synthase 2 [Schizosaccharomyces pombe 972h-]
c2987_g1_i1	P53693	GO:0003674	5339.15	3244.36	227.27	3238.78	molecular_function	Full=Protein rds1 [Schizosaccharomyces pombe 972h-]
c361_g1_i1	Q9UTE6	GO:0003674	13.26	56.01	143.03	14.68	molecular_function	Full=Protein mak16 [Schizosaccharomyces pombe 972h-]
c1717_g1_i1	NA	NA	4.63	9.56	0.00	49.76	NA	NA
c4913_g1_i1	NA	NA	816.41	3451.39	1395.82	366.56	NA	NA
c3570_g1_i1	Q9UTE7	GO:0000166	20.34	0.00	15.16	3.76	nucleotide binding	Full=tRNA modification GTPase mss1, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4686_g1_i1	O74899	GO:0005215	6.49	2.33	10.07	213.78	transporter activity	Full=Uncharacterized transporter C576.17c [Schizosaccharomyces pombe 972h-]
c4940_g1_i1	O14015	GO:0003674	586.89	18.27	7.15	1479.83	molecular_function	Full=Meiotically up-regulated gene 108 protein [Schizosaccharomyces pombe 972h-]
c6213_g1_i1	O74752	GO:0000226	101.49	1484.17	384.86	21.08	microtubule cytoskeleton organization	Full=Mitochondrial protein import protein mas5; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c6596_g1_i1	O14143	NA	75.53	31.66	0.00	625.60	NA	Full=Uncharacterized protein C3G6.07 [Schizosaccharomyces pombe 972h-]
c3606_g1_i3	O94611	GO:0003674	15.65	44.06	0.00	18.32	molecular_function	Full=Meiotically up-regulated gene 65 protein [Schizosaccharomyces pombe 972h-]
c1043_g1_i1	Q9P7F4	GO:0005739	244.58	326.16	14.91	125.65	mitochondrion	Full=Zinc-type alcohol dehydrogenase-like protein C2E1P3.01 [Schizosaccharomyces pombe 972h-]
c5962_g1_i1	O14388	GO:0002181	1080.59	2998.67	3045.40	228.74	cytoplasmic translation	Full=60S ribosomal protein L27-A [Schizosaccharomyces pombe 972h-]
c4681_g1_i2	O13339	GO:0000228	17.42	0.00	11.55	16.31	nuclear chromosome	Full=Telomerase reverse transcriptase; AltName: Full=Telomerase catalytic subunit [Schizosaccharomyces pombe 972h-]
c1100_g1_i2	O94515	GO:0000166	0.00	0.00	0.00	35.87	nucleotide binding	Full=T-complex protein 1 subunit zeta; Short=TCP-1-zeta; AltName: Full=CCT-zeta [Schizosaccharomyces pombe 972h-]
c2937_g2_i1	NA	NA	7.42	26.84	5.31	122.35	NA	NA
c5816_g1_i1	O14368	GO:0005515	6533.07	16789.56	100.46	19091.05	protein binding	Full=Heat shock protein 16; AltName: Full=16 kDa heat shock protein [Schizosaccharomyces pombe 972h-]
c3739_g2_i1	O94396	GO:0001522	3.58	17.61	72.63	8.22	pseudouridine synthesis	Full=tRNA pseudouridine synthase 1; AltName: Full=tRNA pseudouridylate synthase 1; AltName: Full=tRNA-uridine isomerase 1 [Schizosaccharomyces pombe 972h-]
c4745_g1_i1	O59698	GO:0000296	7.25	1.46	63.39	20.11	spermine transport	Full=Uncharacterized transporter C36.01c [Schizosaccharomyces pombe 972h-]
c1216_g1_i1	O14081	GO:0003824	504.65	1014.83	105.51	195.16	catalytic activity	Full=Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 106 kDa subunit; AltName: Full=Trehalose-6-phosphate synthase; AltName: Full=UDP-glucose-glucosephosphate glucosyltransferase [Schizosaccharomyces pombe 972h-]
c4670_g1_i1	Q9URY5	GO:0005506	21.08	28.57	0.00	6.06	iron ion binding	Full=Flavohemoprotein; AltName: Full=Flavohemoglobin; AltName: Full=Hemoglobin-like protein; AltName: Full=Nitric oxide dioxygenase; Short=NO oxygenase; Short=NOD [Schizosaccharomyces pombe 972h-]
